model,runs,threads,connector,time.ms
Wolf Sheep Predation,5000,1,NL4Py,1028867
Wolf Sheep Predation,5000,4,NL4Py,331609
Wolf Sheep Predation,5000,8,NL4Py,262941
Wolf Sheep Predation,5000,16,NL4Py,264779
Wolf Sheep Predation,10000,1,NL4Py,2323538
Wolf Sheep Predation,10000,4,NL4Py,691207
Wolf Sheep Predation,10000,8,NL4Py,552521
Wolf Sheep Predation,10000,16,NL4Py,566201
Wolf Sheep Predation,15000,1,NL4Py,3561528
Wolf Sheep Predation,15000,4,NL4Py,1131756
Wolf Sheep Predation,15000,8,NL4Py,864503
Wolf Sheep Predation,15000,16,NL4Py,853616
Wolf Sheep Predation,5000,1,NL4Py,1148913
Wolf Sheep Predation,5000,4,NL4Py,370130
Wolf Sheep Predation,5000,8,NL4Py,293695
Wolf Sheep Predation,5000,16,NL4Py,290416
Wolf Sheep Predation,10000,1,NL4Py,2359725
Wolf Sheep Predation,10000,4,NL4Py,753798
Wolf Sheep Predation,10000,8,NL4Py,579159
Wolf Sheep Predation,10000,16,NL4Py,564573
Wolf Sheep Predation,15000,1,NL4Py,3655617
Wolf Sheep Predation,15000,4,NL4Py,1118667
Wolf Sheep Predation,15000,8,NL4Py,869349
Wolf Sheep Predation,15000,16,NL4Py,848222
Wolf Sheep Predation,5000,1,NL4Py,1176599
Wolf Sheep Predation,5000,4,NL4Py,388778
Wolf Sheep Predation,5000,8,NL4Py,294308
Wolf Sheep Predation,5000,16,NL4Py,293178
Wolf Sheep Predation,10000,1,NL4Py,2341417
Wolf Sheep Predation,10000,4,NL4Py,763200
Wolf Sheep Predation,10000,8,NL4Py,595023
Wolf Sheep Predation,10000,16,NL4Py,596348
Wolf Sheep Predation,15000,1,NL4Py,3660459
Wolf Sheep Predation,15000,4,NL4Py,1165578
Wolf Sheep Predation,15000,8,NL4Py,897502
Wolf Sheep Predation,15000,16,NL4Py,890965
Wolf Sheep Predation,5000,1,NL4Py,1206582
Wolf Sheep Predation,5000,4,NL4Py,376401
Wolf Sheep Predation,5000,8,NL4Py,300169
Wolf Sheep Predation,5000,16,NL4Py,313047
Wolf Sheep Predation,10000,1,NL4Py,2442787
Wolf Sheep Predation,10000,4,NL4Py,800143
Wolf Sheep Predation,10000,8,NL4Py,612767
Wolf Sheep Predation,10000,16,NL4Py,611167
Wolf Sheep Predation,15000,1,NL4Py,3714948
Wolf Sheep Predation,15000,4,NL4Py,1176334
Wolf Sheep Predation,15000,8,NL4Py,906694
Wolf Sheep Predation,15000,16,NL4Py,917469
Wolf Sheep Predation,5000,1,NL4Py,1219164
Wolf Sheep Predation,5000,4,NL4Py,384462
Wolf Sheep Predation,5000,8,NL4Py,305442
Wolf Sheep Predation,5000,16,NL4Py,297260
