connector,function,runs,ticks,time.ms,max.memory.used.kb
nl4py,runExperiment,500,100,16045,4645264
pynetlogo,repeat_report,500,100,23729,11682480
nl4py,runExperiment,1000,100,21685,7060448
pynetlogo,repeat_report,1000,100,32245,15387944
nl4py,runExperiment,1500,100,27567,8333352
pynetlogo,repeat_report,1500,100,40196,18355532
nl4py,runExperiment,500,100,16256,4477412
pynetlogo,repeat_report,500,100,23404,11278444
nl4py,runExperiment,1000,100,21902,5775560
pynetlogo,repeat_report,1000,100,32429,14449360
nl4py,runExperiment,1500,100,27779,7452236
pynetlogo,repeat_report,1500,100,39925,17433100
nl4py,runExperiment,500,100,15980,3896120
pynetlogo,repeat_report,500,100,23823,11086812
nl4py,runExperiment,1000,100,21487,5677784
pynetlogo,repeat_report,1000,100,32008,14049668
nl4py,runExperiment,1500,100,27787,7984396
pynetlogo,repeat_report,1500,100,40043,17104884
nl4py,runExperiment,500,100,15935,3854928
pynetlogo,repeat_report,500,100,23738,11216264
nl4py,runExperiment,1000,100,21631,6396424
pynetlogo,repeat_report,1000,100,32280,14906744
nl4py,runExperiment,1500,100,27781,7904652
pynetlogo,repeat_report,1500,100,39924,17859280
nl4py,runExperiment,500,100,16031,4288904
pynetlogo,repeat_report,500,100,23724,11212228
nl4py,runExperiment,1000,100,21183,6445864
pynetlogo,repeat_report,1000,100,31791,14336160
nl4py,runExperiment,1500,100,27717,7206304
pynetlogo,repeat_report,1500,100,39699,16744684
