connector,function,model,runs,ticks,time.ms,max.memory.used.b
nl4py,scheduleReportersAndRun,Fire,200,100,7593,3042107392
nl4py,runExperiment,Fire,200,100,7705,3089424384
pynetlogo,repeat_report,Fire,200,100,11955,9966665728
nl4py,scheduleReportersAndRun,Ethnocentrism,200,1000,115098,31950405632
nl4py,runExperiment,Ethnocentrism,200,1000,105235,30596153344
pynetlogo,repeat_report,Ethnocentrism,200,1000,112937,68519596032
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,200,100,6884,2644180992
nl4py,runExperiment,Wolf Sheep Predation,200,100,5630,2770595840
pynetlogo,repeat_report,Wolf Sheep Predation,200,100,12312,11526135808
nl4py,scheduleReportersAndRun,Fire,400,100,11842,4429115392
nl4py,runExperiment,Fire,400,100,9477,4470784000
pynetlogo,repeat_report,Fire,400,100,14544,15265095680
nl4py,scheduleReportersAndRun,Ethnocentrism,400,1000,221736,45202571264
nl4py,runExperiment,Ethnocentrism,400,1000,199102,43679727616
pynetlogo,repeat_report,Ethnocentrism,400,1000,206968,72637792256
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,400,100,9615,3276763136
nl4py,runExperiment,Wolf Sheep Predation,400,100,7177,3382566912
pynetlogo,repeat_report,Wolf Sheep Predation,400,100,14593,18203512832
nl4py,scheduleReportersAndRun,Fire,600,100,12040,3867144192
nl4py,runExperiment,Fire,600,100,10081,3468853248
pynetlogo,repeat_report,Fire,600,100,16540,20772708352
nl4py,scheduleReportersAndRun,Ethnocentrism,600,1000,298219,45267578880
nl4py,runExperiment,Ethnocentrism,600,1000,282964,43785621504
pynetlogo,repeat_report,Ethnocentrism,600,1000,276962,85508648960
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,600,100,12335,4091174912
nl4py,runExperiment,Wolf Sheep Predation,600,100,9148,4082233344
pynetlogo,repeat_report,Wolf Sheep Predation,600,100,16822,21471301632
nl4py,scheduleReportersAndRun,Fire,800,100,14019,4518076416
nl4py,runExperiment,Fire,800,100,12564,3787558912
pynetlogo,repeat_report,Fire,800,100,17889,22185689088
nl4py,scheduleReportersAndRun,Ethnocentrism,800,1000,399621,45417705472
nl4py,runExperiment,Ethnocentrism,800,1000,388439,43859419136
pynetlogo,repeat_report,Ethnocentrism,800,1000,361767,85477793792
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,800,100,14644,5485297664
nl4py,runExperiment,Wolf Sheep Predation,800,100,11354,4999335936
pynetlogo,repeat_report,Wolf Sheep Predation,800,100,18848,21538095104
nl4py,scheduleReportersAndRun,Fire,1000,100,15976,4604968960
nl4py,runExperiment,Fire,1000,100,14186,3865632768
pynetlogo,repeat_report,Fire,1000,100,19257,22626742272
nl4py,scheduleReportersAndRun,Ethnocentrism,1000,1000,487535,45594816512
nl4py,runExperiment,Ethnocentrism,1000,1000,471595,44019884032
pynetlogo,repeat_report,Ethnocentrism,1000,1000,450375,96357400576
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,1000,100,17470,5890682880
nl4py,runExperiment,Wolf Sheep Predation,1000,100,11244,5311520768
pynetlogo,repeat_report,Wolf Sheep Predation,1000,100,20580,23530614784
nl4py,scheduleReportersAndRun,Fire,200,100,7727,2969079808
nl4py,runExperiment,Fire,200,100,7101,3109076992
pynetlogo,repeat_report,Fire,200,100,11906,9869258752
nl4py,scheduleReportersAndRun,Ethnocentrism,200,1000,114965,29741924352
nl4py,runExperiment,Ethnocentrism,200,1000,108768,28351655936
pynetlogo,repeat_report,Ethnocentrism,200,1000,113096,68314128384
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,200,100,7031,2818543616
nl4py,runExperiment,Wolf Sheep Predation,200,100,6793,2798415872
pynetlogo,repeat_report,Wolf Sheep Predation,200,100,12289,11523796992
nl4py,scheduleReportersAndRun,Fire,400,100,10595,3711004672
nl4py,runExperiment,Fire,400,100,8883,3569975296
pynetlogo,repeat_report,Fire,400,100,14694,15130583040
nl4py,scheduleReportersAndRun,Ethnocentrism,400,1000,219087,45203415040
nl4py,runExperiment,Ethnocentrism,400,1000,198710,43721134080
pynetlogo,repeat_report,Ethnocentrism,400,1000,206903,75879354368
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,400,100,9714,3804434432
nl4py,runExperiment,Wolf Sheep Predation,400,100,6928,3976044544
pynetlogo,repeat_report,Wolf Sheep Predation,400,100,14714,17973358592
nl4py,scheduleReportersAndRun,Fire,600,100,12715,3953020928
nl4py,runExperiment,Fire,600,100,10269,3722653696
pynetlogo,repeat_report,Fire,600,100,16525,20488523776
nl4py,scheduleReportersAndRun,Ethnocentrism,600,1000,304672,45284974592
nl4py,runExperiment,Ethnocentrism,600,1000,306390,43805958144
pynetlogo,repeat_report,Ethnocentrism,600,1000,286477,83583860736
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,600,100,12836,4379922432
nl4py,runExperiment,Wolf Sheep Predation,600,100,8683,4214247424
pynetlogo,repeat_report,Wolf Sheep Predation,600,100,17096,21524504576
nl4py,scheduleReportersAndRun,Fire,800,100,14339,4866043904
nl4py,runExperiment,Fire,800,100,12520,4118802432
pynetlogo,repeat_report,Fire,800,100,18495,22506524672
nl4py,scheduleReportersAndRun,Ethnocentrism,800,1000,401944,45438541824
nl4py,runExperiment,Ethnocentrism,800,1000,376435,43942227968
pynetlogo,repeat_report,Ethnocentrism,800,1000,356326,78465511424
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,800,100,14343,5510963200
nl4py,runExperiment,Wolf Sheep Predation,800,100,9429,4668518400
pynetlogo,repeat_report,Wolf Sheep Predation,800,100,18544,21615398912
nl4py,scheduleReportersAndRun,Fire,1000,100,15199,4784848896
nl4py,runExperiment,Fire,1000,100,13095,4047958016
pynetlogo,repeat_report,Fire,1000,100,19187,22621544448
nl4py,scheduleReportersAndRun,Ethnocentrism,1000,1000,491418,45710409728
nl4py,runExperiment,Ethnocentrism,1000,1000,511433,44098772992
pynetlogo,repeat_report,Ethnocentrism,1000,1000,442703,96197451776
nl4py,scheduleReportersAndRun,Wolf Sheep Predation,1000,100,17461,6421106688
nl4py,runExperiment,Wolf Sheep Predation,1000,100,11638,5638246400
pynetlogo,repeat_report,Wolf Sheep Predation,1000,100,20753,23744425984
nl4py,scheduleReportersAndRun,Fire,200,100,8194,3106336768
nl4py,runExperiment,Fire,200,100,7883,3119443968
pynetlogo,repeat_report,Fire,200,100,12122,11160457216
nl4py,scheduleReportersAndRun,Ethnocentrism,200,1000,118248,31450734592
nl4py,runExperiment,Ethnocentrism,200,1000,108429,30055227392
pynetlogo,repeat_report,Ethnocentrism,200,1000,115206,67769745408
