connector,function,runs,ticks,time.ms,max.memory.used.b
nl4py,scheduledreporters,Fire.nlogo,200,100,24187,2672230400
nl4py,runexperiment,Fire.nlogo,200,100,8704,887578624
pynetlogo,repeatreporter,Fire.nlogo,200,100,23602,2749493248
nl4py,scheduledreporters,Ethnocentrism.nlogo,200,1000,360727,8176373760
nl4py,runexperiment,Ethnocentrism.nlogo,200,1000,306179,8893562880
pynetlogo,repeatreporter,Ethnocentrism.nlogo,200,1000,329901,7200305152
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,200,100,25783,2926718976
nl4py,runexperiment,Wolf Sheep Predation.nlogo,200,100,7919,915587072
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,200,100,21279,3104813056
nl4py,scheduledreporters,Fire.nlogo,400,100,30593,3225612288
nl4py,runexperiment,Fire.nlogo,400,100,11645,1181868032
pynetlogo,repeatreporter,Fire.nlogo,400,100,24404,3221577728
nl4py,scheduledreporters,Ethnocentrism.nlogo,400,1000,707180,11414437888
nl4py,runexperiment,Ethnocentrism.nlogo,400,1000,600325,8494960640
pynetlogo,repeatreporter,Ethnocentrism.nlogo,400,1000,643860,10076921856
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,400,100,37138,4000911360
nl4py,runexperiment,Wolf Sheep Predation.nlogo,400,100,10694,1153765376
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,400,100,29810,3765833728
nl4py,scheduledreporters,Fire.nlogo,600,100,37930,3621789696
nl4py,runexperiment,Fire.nlogo,600,100,13360,1410043904
pynetlogo,repeatreporter,Fire.nlogo,600,100,29457,3967123456
nl4py,scheduledreporters,Ethnocentrism.nlogo,600,1000,1015047,13935087616
nl4py,runexperiment,Ethnocentrism.nlogo,600,1000,1041186,8950865920
pynetlogo,repeatreporter,Ethnocentrism.nlogo,600,1000,932241,16429498368
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,600,100,45462,4459384832
nl4py,runexperiment,Wolf Sheep Predation.nlogo,600,100,13832,1472921600
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,600,100,35634,4269604864
nl4py,scheduledreporters,Fire.nlogo,800,100,43435,4013838336
nl4py,runexperiment,Fire.nlogo,800,100,15887,1417457664
pynetlogo,repeatreporter,Fire.nlogo,800,100,33227,4169711616
nl4py,scheduledreporters,Ethnocentrism.nlogo,800,1000,1345015,19249041408
nl4py,runexperiment,Ethnocentrism.nlogo,800,1000,1180672,8971292672
pynetlogo,repeatreporter,Ethnocentrism.nlogo,800,1000,1266320,18714210304
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,800,100,53023,5507661824
nl4py,runexperiment,Wolf Sheep Predation.nlogo,800,100,16058,1864876032
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,800,100,42504,4883603456
nl4py,scheduledreporters,Fire.nlogo,1000,100,50232,4626268160
nl4py,runexperiment,Fire.nlogo,1000,100,18213,1551974400
pynetlogo,repeatreporter,Fire.nlogo,1000,100,38027,4173221888
nl4py,scheduledreporters,Ethnocentrism.nlogo,1000,1000,1687433,17449684992
nl4py,runexperiment,Ethnocentrism.nlogo,1000,1000,1472291,8958943232
pynetlogo,repeatreporter,Ethnocentrism.nlogo,1000,1000,1550086,16100622336
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,1000,100,61325,5155774464
nl4py,runexperiment,Wolf Sheep Predation.nlogo,1000,100,18396,2710523904
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,1000,100,47731,5000802304
nl4py,scheduledreporters,Fire.nlogo,200,100,22260,2924949504
nl4py,runexperiment,Fire.nlogo,200,100,8115,848392192
pynetlogo,repeatreporter,Fire.nlogo,200,100,19056,2814574592
nl4py,scheduledreporters,Ethnocentrism.nlogo,200,1000,359217,6829264896
nl4py,runexperiment,Ethnocentrism.nlogo,200,1000,301678,8751071232
pynetlogo,repeatreporter,Ethnocentrism.nlogo,200,1000,328053,7218659328
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,200,100,25204,2791370752
nl4py,runexperiment,Wolf Sheep Predation.nlogo,200,100,8332,902168576
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,200,100,21149,2963025920
nl4py,scheduledreporters,Fire.nlogo,400,100,32142,3357577216
nl4py,runexperiment,Fire.nlogo,400,100,11321,1135902720
pynetlogo,repeatreporter,Fire.nlogo,400,100,23978,3267756032
nl4py,scheduledreporters,Ethnocentrism.nlogo,400,1000,690722,11384819712
nl4py,runexperiment,Ethnocentrism.nlogo,400,1000,593118,8804438016
pynetlogo,repeatreporter,Ethnocentrism.nlogo,400,1000,630372,12420390912
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,400,100,35474,3224588288
nl4py,runexperiment,Wolf Sheep Predation.nlogo,400,100,10765,1262252032
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,400,100,29788,3712200704
nl4py,scheduledreporters,Fire.nlogo,600,100,38284,3644772352
nl4py,runexperiment,Fire.nlogo,600,100,13458,1614176256
pynetlogo,repeatreporter,Fire.nlogo,600,100,29664,3672543232
nl4py,scheduledreporters,Ethnocentrism.nlogo,600,1000,1013806,16796794880
nl4py,runexperiment,Ethnocentrism.nlogo,600,1000,899026,8872751104
pynetlogo,repeatreporter,Ethnocentrism.nlogo,600,1000,938091,14487044096
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,600,100,44214,4346421248
nl4py,runexperiment,Wolf Sheep Predation.nlogo,600,100,13412,1886355456
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,600,100,36023,4532998144
nl4py,scheduledreporters,Fire.nlogo,800,100,43776,3748556800
nl4py,runexperiment,Fire.nlogo,800,100,15645,1445330944
pynetlogo,repeatreporter,Fire.nlogo,800,100,33696,3938676736
nl4py,scheduledreporters,Ethnocentrism.nlogo,800,1000,1349098,19305558016
nl4py,runexperiment,Ethnocentrism.nlogo,800,1000,1183572,9015959552
pynetlogo,repeatreporter,Ethnocentrism.nlogo,800,1000,1238928,19915272192
nl4py,scheduledreporters,Wolf Sheep Predation.nlogo,800,100,56924,3765936128
nl4py,runexperiment,Wolf Sheep Predation.nlogo,800,100,15846,2068992000
pynetlogo,repeatreporter,Wolf Sheep Predation.nlogo,800,100,41684,4605124608
nl4py,scheduledreporters,Fire.nlogo,1000,100,49592,4472569856
nl4py,runexperiment,Fire.nlogo,1000,100,17791,1456476160
