total,available,percent,used,free
34277707776,28042960896,18.2,6234746880,28042960896
34277707776,28042358784,18.2,6235348992,28042358784
34277707776,28042326016,18.2,6235381760,28042326016
34277707776,28042199040,18.2,6235508736,28042199040
34277707776,28042084352,18.2,6235623424,28042084352
34277707776,28042084352,18.2,6235623424,28042084352
34277707776,28042059776,18.2,6235648000,28042059776
34277707776,28041879552,18.2,6235828224,28041879552
34277707776,28041588736,18.2,6236119040,28041588736
34277707776,28041506816,18.2,6236200960,28041506816
34277707776,28041240576,18.2,6236467200,28041240576
34277707776,28041232384,18.2,6236475392,28041232384
34277707776,28041232384,18.2,6236475392,28041232384
34277707776,28041232384,18.2,6236475392,28041232384
34277707776,28041093120,18.2,6236614656,28041093120
34277707776,28041093120,18.2,6236614656,28041093120
34277707776,28041007104,18.2,6236700672,28041007104
34277707776,28040994816,18.2,6236712960,28040994816
34277707776,28040953856,18.2,6236753920,28040953856
34277707776,28040794112,18.2,6236913664,28040794112
34277707776,28040769536,18.2,6236938240,28040769536
34277707776,28040761344,18.2,6236946432,28040761344
34277707776,28040458240,18.2,6237249536,28040458240
34277707776,28037513216,18.2,6240194560,28037513216
34277707776,28035305472,18.2,6242402304,28035305472
34277707776,28035149824,18.2,6242557952,28035149824
34277707776,28034486272,18.2,6243221504,28034486272
34277707776,28031131648,18.2,6246576128,28031131648
34277707776,28028776448,18.2,6248931328,28028776448
34277707776,28025540608,18.2,6252167168,28025540608
34277707776,28025425920,18.2,6252281856,28025425920
34277707776,28025421824,18.2,6252285952,28025421824
34277707776,28025118720,18.2,6252589056,28025118720
34277707776,28024872960,18.2,6252834816,28024872960
34277707776,28025012224,18.2,6252695552,28025012224
34277707776,28026179584,18.2,6251528192,28026179584
34277707776,28028211200,18.2,6249496576,28028211200
34277707776,28029054976,18.2,6248652800,28029054976
34277707776,28030722048,18.2,6246985728,28030722048
34277707776,28031410176,18.2,6246297600,28031410176
34277707776,28032667648,18.2,6245040128,28032667648
34277707776,28033138688,18.2,6244569088,28033138688
34277707776,28034707456,18.2,6243000320,28034707456
34277707776,28035284992,18.2,6242422784,28035284992
34277707776,28036104192,18.2,6241603584,28036104192
34277707776,28036775936,18.2,6240931840,28036775936
34277707776,28038361088,18.2,6239346688,28038361088
34277707776,28039151616,18.2,6238556160,28039151616
34277707776,28039663616,18.2,6238044160,28039663616
34277707776,28043079680,18.2,6234628096,28043079680
34277707776,28043132928,18.2,6234574848,28043132928
34277707776,28043120640,18.2,6234587136,28043120640
34277707776,28043104256,18.2,6234603520,28043104256
34277707776,28043104256,18.2,6234603520,28043104256
34277707776,28042801152,18.2,6234906624,28042801152
34277707776,28043751424,18.2,6233956352,28043751424
34277707776,28043075584,18.2,6234632192,28043075584
34277707776,28042964992,18.2,6234742784,28042964992
34277707776,28042964992,18.2,6234742784,28042964992
34277707776,28042956800,18.2,6234750976,28042956800
34277707776,28042792960,18.2,6234914816,28042792960
34277707776,28042792960,18.2,6234914816,28042792960
34277707776,28042792960,18.2,6234914816,28042792960
34277707776,28042829824,18.2,6234877952,28042829824
34277707776,28042403840,18.2,6235303936,28042403840
34277707776,28042174464,18.2,6235533312,28042174464
34277707776,28042174464,18.2,6235533312,28042174464
34277707776,28042174464,18.2,6235533312,28042174464
34277707776,28042100736,18.2,6235607040,28042100736
34277707776,28042100736,18.2,6235607040,28042100736
34277707776,28042100736,18.2,6235607040,28042100736
34277707776,28041965568,18.2,6235742208,28041965568
34277707776,28041965568,18.2,6235742208,28041965568
34277707776,28041965568,18.2,6235742208,28041965568
34277707776,28041895936,18.2,6235811840,28041895936
34277707776,28041547776,18.2,6236160000,28041547776
34277707776,28041478144,18.2,6236229632,28041478144
34277707776,28041265152,18.2,6236442624,28041265152
34277707776,28041195520,18.2,6236512256,28041195520
34277707776,28041166848,18.2,6236540928,28041166848
34277707776,28041154560,18.2,6236553216,28041154560
34277707776,28041084928,18.2,6236622848,28041084928
34277707776,28041015296,18.2,6236692480,28041015296
34277707776,28040851456,18.2,6236856320,28040851456
34277707776,28040851456,18.2,6236856320,28040851456
34277707776,28040781824,18.2,6236925952,28040781824
34277707776,28040781824,18.2,6236925952,28040781824
34277707776,28040224768,18.2,6237483008,28040224768
34277707776,28039872512,18.2,6237835264,28039872512
34277707776,28039434240,18.2,6238273536,28039434240
34277707776,28039090176,18.2,6238617600,28039090176
34277707776,28038647808,18.2,6239059968,28038647808
34277707776,28038144000,18.2,6239563776,28038144000
34277707776,28037775360,18.2,6239932416,28037775360
34277707776,28035043328,18.2,6242664448,28035043328
34277707776,28027596800,18.2,6250110976,28027596800
34277707776,28026015744,18.2,6251692032,28026015744
34277707776,28025929728,18.2,6251778048,28025929728
34277707776,28025401344,18.2,6252306432,28025401344
34277707776,28025049088,18.2,6252658688,28025049088
34277707776,28024049664,18.2,6253658112,28024049664
34277707776,28020322304,18.3,6257385472,28020322304
34277707776,28013174784,18.3,6264532992,28013174784
34277707776,28002377728,18.3,6275330048,28002377728
34277707776,27988320256,18.3,6289387520,27988320256
34277707776,27987062784,18.4,6290644992,27987062784
34277707776,27982696448,18.4,6295011328,27982696448
34277707776,27975663616,18.4,6302044160,27975663616
34277707776,27975651328,18.4,6302056448,27975651328
34277707776,27975626752,18.4,6302081024,27975626752
34277707776,27975577600,18.4,6302130176,27975577600
34277707776,27975815168,18.4,6301892608,27975815168
34277707776,27975974912,18.4,6301732864,27975974912
34277707776,27975774208,18.4,6301933568,27975774208
34277707776,27975548928,18.4,6302158848,27975548928
34277707776,27975569408,18.4,6302138368,27975569408
34277707776,27975569408,18.4,6302138368,27975569408
34277707776,27975569408,18.4,6302138368,27975569408
34277707776,27975569408,18.4,6302138368,27975569408
34277707776,27975491584,18.4,6302216192,27975491584
34277707776,27975512064,18.4,6302195712,27975512064
34277707776,27975434240,18.4,6302273536,27975434240
34277707776,27975430144,18.4,6302277632,27975430144
34277707776,27975430144,18.4,6302277632,27975430144
34277707776,27975430144,18.4,6302277632,27975430144
34277707776,27975417856,18.4,6302289920,27975417856
34277707776,27975413760,18.4,6302294016,27975413760
34277707776,27975413760,18.4,6302294016,27975413760
34277707776,27975344128,18.4,6302363648,27975344128
34277707776,27975335936,18.4,6302371840,27975335936
34277707776,27975335936,18.4,6302371840,27975335936
34277707776,27975327744,18.4,6302380032,27975327744
34277707776,27975319552,18.4,6302388224,27975319552
34277707776,27975315456,18.4,6302392320,27975315456
34277707776,27975307264,18.4,6302400512,27975307264
34277707776,27975327744,18.4,6302380032,27975327744
34277707776,27975311360,18.4,6302396416,27975311360
34277707776,27975286784,18.4,6302420992,27975286784
34277707776,27975368704,18.4,6302339072,27975368704
34277707776,27975368704,18.4,6302339072,27975368704
34277707776,27975389184,18.4,6302318592,27975389184
34277707776,27975311360,18.4,6302396416,27975311360
34277707776,27975299072,18.4,6302408704,27975299072
34277707776,27975282688,18.4,6302425088,27975282688
34277707776,27975282688,18.4,6302425088,27975282688
34277707776,27975278592,18.4,6302429184,27975278592
34277707776,27975192576,18.4,6302515200,27975192576
34277707776,27974967296,18.4,6302740480,27974967296
34277707776,27974807552,18.4,6302900224,27974807552
34277707776,27974791168,18.4,6302916608,27974791168
34277707776,27974791168,18.4,6302916608,27974791168
34277707776,27974344704,18.4,6303363072,27974344704
34277707776,27974537216,18.4,6303170560,27974537216
34277707776,27974537216,18.4,6303170560,27974537216
34277707776,27974463488,18.4,6303244288,27974463488
34277707776,27974455296,18.4,6303252480,27974455296
34277707776,27974455296,18.4,6303252480,27974455296
34277707776,27974463488,18.4,6303244288,27974463488
34277707776,27974463488,18.4,6303244288,27974463488
34277707776,27974459392,18.4,6303248384,27974459392
34277707776,27974459392,18.4,6303248384,27974459392
34277707776,27974389760,18.4,6303318016,27974389760
34277707776,27974389760,18.4,6303318016,27974389760
34277707776,27974389760,18.4,6303318016,27974389760
34277707776,27977519104,18.4,6300188672,27977519104
34277707776,27975004160,18.4,6302703616,27975004160
34277707776,27975004160,18.4,6302703616,27975004160
34277707776,27975004160,18.4,6302703616,27975004160
34277707776,27975004160,18.4,6302703616,27975004160
34277707776,27975004160,18.4,6302703616,27975004160
34277707776,27975004160,18.4,6302703616,27975004160
34277707776,27974991872,18.4,6302715904,27974991872
34277707776,27975073792,18.4,6302633984,27975073792
34277707776,27975065600,18.4,6302642176,27975065600
34277707776,27975057408,18.4,6302650368,27975057408
34277707776,27975049216,18.4,6302658560,27975049216
34277707776,27975028736,18.4,6302679040,27975028736
34277707776,27975000064,18.4,6302707712,27975000064
34277707776,27974995968,18.4,6302711808,27974995968
34277707776,27974979584,18.4,6302728192,27974979584
34277707776,27975036928,18.4,6302670848,27975036928
34277707776,27975020544,18.4,6302687232,27975020544
34277707776,27975045120,18.4,6302662656,27975045120
34277707776,27975020544,18.4,6302687232,27975020544
34277707776,27974991872,18.4,6302715904,27974991872
34277707776,27974995968,18.4,6302711808,27974995968
34277707776,27974983680,18.4,6302724096,27974983680
34277707776,27974971392,18.4,6302736384,27974971392
34277707776,27974975488,18.4,6302732288,27974975488
34277707776,27974971392,18.4,6302736384,27974971392
34277707776,27974967296,18.4,6302740480,27974967296
34277707776,27974967296,18.4,6302740480,27974967296
34277707776,27974967296,18.4,6302740480,27974967296
34277707776,27974967296,18.4,6302740480,27974967296
34277707776,27974967296,18.4,6302740480,27974967296
34277707776,27974967296,18.4,6302740480,27974967296
34277707776,27974967296,18.4,6302740480,27974967296
34277707776,27974967296,18.4,6302740480,27974967296
34277707776,27974967296,18.4,6302740480,27974967296
34277707776,27974967296,18.4,6302740480,27974967296
34277707776,27974967296,18.4,6302740480,27974967296
34277707776,27974967296,18.4,6302740480,27974967296
34277707776,27974967296,18.4,6302740480,27974967296
34277707776,27974967296,18.4,6302740480,27974967296
34277707776,27974967296,18.4,6302740480,27974967296
34277707776,27974963200,18.4,6302744576,27974963200
34277707776,27974963200,18.4,6302744576,27974963200
34277707776,27974942720,18.4,6302765056,27974942720
34277707776,27974938624,18.4,6302769152,27974938624
34277707776,27974922240,18.4,6302785536,27974922240
34277707776,27974975488,18.4,6302732288,27974975488
34277707776,27974955008,18.4,6302752768,27974955008
34277707776,27974950912,18.4,6302756864,27974950912
34277707776,27974975488,18.4,6302732288,27974975488
34277707776,27974967296,18.4,6302740480,27974967296
34277707776,27974955008,18.4,6302752768,27974955008
34277707776,27974995968,18.4,6302711808,27974995968
34277707776,27974942720,18.4,6302765056,27974942720
34277707776,27974922240,18.4,6302785536,27974922240
34277707776,27974922240,18.4,6302785536,27974922240
34277707776,27974918144,18.4,6302789632,27974918144
34277707776,27974918144,18.4,6302789632,27974918144
34277707776,27974914048,18.4,6302793728,27974914048
34277707776,27974926336,18.4,6302781440,27974926336
34277707776,27975012352,18.4,6302695424,27975012352
34277707776,27975012352,18.4,6302695424,27975012352
34277707776,27975004160,18.4,6302703616,27975004160
34277707776,27974987776,18.4,6302720000,27974987776
34277707776,27974955008,18.4,6302752768,27974955008
34277707776,27974946816,18.4,6302760960,27974946816
34277707776,27974934528,18.4,6302773248,27974934528
34277707776,27974922240,18.4,6302785536,27974922240
34277707776,27974987776,18.4,6302720000,27974987776
34277707776,27974971392,18.4,6302736384,27974971392
34277707776,27974967296,18.4,6302740480,27974967296
34277707776,27974967296,18.4,6302740480,27974967296
34277707776,27974963200,18.4,6302744576,27974963200
34277707776,27974963200,18.4,6302744576,27974963200
34277707776,27974959104,18.4,6302748672,27974959104
34277707776,27974967296,18.4,6302740480,27974967296
34277707776,27974955008,18.4,6302752768,27974955008
34277707776,27974819840,18.4,6302887936,27974819840
