total,available,percent,used,free
34277707776,28140175360,17.9,6137532416,28140175360
34277707776,28139397120,17.9,6138310656,28139397120
34277707776,28137938944,17.9,6139768832,28137938944
34277707776,28137377792,17.9,6140329984,28137377792
34277707776,28135362560,17.9,6142345216,28135362560
34277707776,28133212160,17.9,6144495616,28133212160
34277707776,28131086336,17.9,6146621440,28131086336
34277707776,28128296960,17.9,6149410816,28128296960
34277707776,28126515200,17.9,6151192576,28126515200
34277707776,28125040640,17.9,6152667136,28125040640
34277707776,28122681344,18.0,6155026432,28122681344
34277707776,28122013696,18.0,6155694080,28122013696
34277707776,28121395200,18.0,6156312576,28121395200
34277707776,28120686592,18.0,6157021184,28120686592
34277707776,28119760896,18.0,6157946880,28119760896
34277707776,28117757952,18.0,6159949824,28117757952
34277707776,28101877760,18.0,6175830016,28101877760
34277707776,28100743168,18.0,6176964608,28100743168
34277707776,28097736704,18.0,6179971072,28097736704
34277707776,28094726144,18.0,6182981632,28094726144
34277707776,28090728448,18.0,6186979328,28090728448
34277707776,28088778752,18.1,6188929024,28088778752
34277707776,28087123968,18.1,6190583808,28087123968
34277707776,28086554624,18.1,6191153152,28086554624
34277707776,28085813248,18.1,6191894528,28085813248
34277707776,28084879360,18.1,6192828416,28084879360
34277707776,28084072448,18.1,6193635328,28084072448
34277707776,28083003392,18.1,6194704384,28083003392
34277707776,28081618944,18.1,6196088832,28081618944
34277707776,28078952448,18.1,6198755328,28078952448
34277707776,28059619328,18.1,6218088448,28059619328
34277707776,28048601088,18.2,6229106688,28048601088
34277707776,28048584704,18.2,6229123072,28048584704
34277707776,28033740800,18.2,6243966976,28033740800
34277707776,28028403712,18.2,6249304064,28028403712
34277707776,28028211200,18.2,6249496576,28028211200
34277707776,28027334656,18.2,6250373120,28027334656
34277707776,28024352768,18.2,6253355008,28024352768
34277707776,28019867648,18.3,6257840128,28019867648
34277707776,28017594368,18.3,6260113408,28017594368
34277707776,28015620096,18.3,6262087680,28015620096
34277707776,28015013888,18.3,6262693888,28015013888
34277707776,28014211072,18.3,6263496704,28014211072
34277707776,28013920256,18.3,6263787520,28013920256
34277707776,28013645824,18.3,6264061952,28013645824
34277707776,28012883968,18.3,6264823808,28012883968
34277707776,28012425216,18.3,6265282560,28012425216
34277707776,28012392448,18.3,6265315328,28012392448
34277707776,28011839488,18.3,6265868288,28011839488
34277707776,28011663360,18.3,6266044416,28011663360
34277707776,28011376640,18.3,6266331136,28011376640
