total,available,percent,used,free
34277707776,28184440832,17.8,6093266944,28184440832
34277707776,28184326144,17.8,6093381632,28184326144
34277707776,28184072192,17.8,6093635584,28184072192
34277707776,28179984384,17.8,6097723392,28179984384
34277707776,28178427904,17.8,6099279872,28178427904
34277707776,28176637952,17.8,6101069824,28176637952
34277707776,28176637952,17.8,6101069824,28176637952
34277707776,28176637952,17.8,6101069824,28176637952
34277707776,28176637952,17.8,6101069824,28176637952
34277707776,28176637952,17.8,6101069824,28176637952
34277707776,28176637952,17.8,6101069824,28176637952
34277707776,28176482304,17.8,6101225472,28176482304
34277707776,28174680064,17.8,6103027712,28174680064
34277707776,28173164544,17.8,6104543232,28173164544
34277707776,28170080256,17.8,6107627520,28170080256
34277707776,28166844416,17.8,6110863360,28166844416
34277707776,28166410240,17.8,6111297536,28166410240
34277707776,28157497344,17.9,6120210432,28157497344
34277707776,28152254464,17.9,6125453312,28152254464
34277707776,28148891648,17.9,6128816128,28148891648
34277707776,28148850688,17.9,6128857088,28148850688
34277707776,28148703232,17.9,6129004544,28148703232
34277707776,28148518912,17.9,6129188864,28148518912
34277707776,28145520640,17.9,6132187136,28145520640
34277707776,28142911488,17.9,6134796288,28142911488
34277707776,28140490752,17.9,6137217024,28140490752
34277707776,28139413504,17.9,6138294272,28139413504
34277707776,28136349696,17.9,6141358080,28136349696
34277707776,28133347328,17.9,6144360448,28133347328
34277707776,28131119104,17.9,6146588672,28131119104
34277707776,28130357248,17.9,6147350528,28130357248
34277707776,28130275328,17.9,6147432448,28130275328
34277707776,28131057664,17.9,6146650112,28131057664
34277707776,28130811904,17.9,6146895872,28130811904
34277707776,28130742272,17.9,6146965504,28130742272
34277707776,28129763328,17.9,6147944448,28129763328
34277707776,28125622272,17.9,6152085504,28125622272
34277707776,28122349568,18.0,6155358208,28122349568
34277707776,28116320256,18.0,6161387520,28116320256
34277707776,28114444288,18.0,6163263488,28114444288
34277707776,28113555456,18.0,6164152320,28113555456
34277707776,28113195008,18.0,6164512768,28113195008
34277707776,28113084416,18.0,6164623360,28113084416
34277707776,28113002496,18.0,6164705280,28113002496
34277707776,28112904192,18.0,6164803584,28112904192
34277707776,28112003072,18.0,6165704704,28112003072
34277707776,28109852672,18.0,6167855104,28109852672
34277707776,28107399168,18.0,6170308608,28107399168
34277707776,28102451200,18.0,6175256576,28102451200
34277707776,28098650112,18.0,6179057664,28098650112
34277707776,28096843776,18.0,6180864000,28096843776
34277707776,28095119360,18.0,6182588416,28095119360
34277707776,28095082496,18.0,6182625280,28095082496
34277707776,28095082496,18.0,6182625280,28095082496
34277707776,28095082496,18.0,6182625280,28095082496
34277707776,28094988288,18.0,6182719488,28094988288
34277707776,28094930944,18.0,6182776832,28094930944
34277707776,28093894656,18.0,6183813120,28093894656
34277707776,28091387904,18.0,6186319872,28091387904
34277707776,28088713216,18.1,6188994560,28088713216
34277707776,28086894592,18.1,6190813184,28086894592
34277707776,28083691520,18.1,6194016256,28083691520
34277707776,28080558080,18.1,6197149696,28080558080
34277707776,28077531136,18.1,6200176640,28077531136
34277707776,28077314048,18.1,6200393728,28077314048
34277707776,28077178880,18.1,6200528896,28077178880
34277707776,28076847104,18.1,6200860672,28076847104
34277707776,28075352064,18.1,6202355712,28075352064
34277707776,28074049536,18.1,6203658240,28074049536
34277707776,28059402240,18.1,6218305536,28059402240
34277707776,28042203136,18.2,6235504640,28042203136
34277707776,28042072064,18.2,6235635712,28042072064
34277707776,28042072064,18.2,6235635712,28042072064
34277707776,28042072064,18.2,6235635712,28042072064
34277707776,28043776000,18.2,6233931776,28043776000
34277707776,28043804672,18.2,6233903104,28043804672
34277707776,28043862016,18.2,6233845760,28043862016
34277707776,28043755520,18.2,6233952256,28043755520
34277707776,28043800576,18.2,6233907200,28043800576
34277707776,28043747328,18.2,6233960448,28043747328
34277707776,28043837440,18.2,6233870336,28043837440
34277707776,28043730944,18.2,6233976832,28043730944
34277707776,28043714560,18.2,6233993216,28043714560
34277707776,28043735040,18.2,6233972736,28043735040
34277707776,28043718656,18.2,6233989120,28043718656
34277707776,28043702272,18.2,6234005504,28043702272
34277707776,28043689984,18.2,6234017792,28043689984
34277707776,28043542528,18.2,6234165248,28043542528
34277707776,28043481088,18.2,6234226688,28043481088
34277707776,28043239424,18.2,6234468352,28043239424
34277707776,28043206656,18.2,6234501120,28043206656
34277707776,28043243520,18.2,6234464256,28043243520
34277707776,28042379264,18.2,6235328512,28042379264
34277707776,28042113024,18.2,6235594752,28042113024
34277707776,28041064448,18.2,6236643328,28041064448
34277707776,28037320704,18.2,6240387072,28037320704
34277707776,28034396160,18.2,6243311616,28034396160
34277707776,28030857216,18.2,6246850560,28030857216
34277707776,28030586880,18.2,6247120896,28030586880
34277707776,28028497920,18.2,6249209856,28028497920
34277707776,28026507264,18.2,6251200512,28026507264
34277707776,28026150912,18.2,6251556864,28026150912
34277707776,28025999360,18.2,6251708416,28025999360
34277707776,28022616064,18.2,6255091712,28022616064
