,0,1,2,3,4,5,6,7,8,9
0,2015,1362,2630,5444,9327,19483,37150,73598,149753,300269
1,433,977,2236,4519,9163,18745,37159,75198,149465,298245
2,437,929,2285,4653,9490,18629,37274,74759,148459,299430
3,431,974,2404,4930,9179,19095,37024,74454,146704,289254
4,429,872,2257,4590,8912,17813,35464,71919,143209,287927
5,458,858,2121,4310,9165,18021,36124,71793,144318,288803
6,438,863,2188,4481,8948,18199,36192,72915,144034,291084
7,397,942,2321,4664,9051,18263,37030,72310,144491,288933
8,518,917,2267,4676,9012,18009,36611,72191,145006,290671
9,433,903,2314,4614,8826,18178,36359,72737,144935,292467
10,478,931,2388,4726,9146,17788,36695,73959,146355,292537
11,401,920,2190,4656,9254,18141,36058,72805,145669,291995
12,429,883,2289,4475,9107,18413,36086,72900,145335,292317
13,413,921,2333,4499,9035,18051,36929,72706,145942,289551
14,499,990,2272,4612,8812,17989,36376,72516,145068,289891
15,527,880,2260,4516,9061,18187,36291,71756,146182,291622
16,423,903,2303,4519,9141,18024,36256,72685,145058,290757
17,434,882,2298,4462,9305,17905,36121,72810,145433,291821
18,536,934,2202,4356,9013,18403,36345,72112,146084,291196
19,513,887,2280,4428,9163,18170,36695,72638,145763,291650
20,570,921,2256,4479,9350,18585,36523,73193,146440,289808
21,395,1100,2093,4666,9138,18189,36588,73259,146345,291588
22,443,869,2183,4686,8930,18119,36933,72373,146376,294432
23,420,880,2322,4598,8967,18223,36850,73659,149065,295619
24,490,1070,2483,4581,9215,18382,36865,74443,146203,296989
25,426,1008,2342,4610,9575,19163,37571,74742,147504,296523
26,378,927,2367,4782,9131,18413,36259,74291,147474,295398
27,455,888,2370,4835,9020,18423,36887,73719,147116,293455
28,416,1040,2133,4574,9119,17972,36149,73990,146552,292322
29,369,955,2314,4603,9029,18233,36006,73691,146711,294007
