,0,1,2
0,11000,4,6933715
1,11000,8,5383835
2,11000,16,5246612
3,11000,4,6853656
4,11000,8,5348327
5,11000,16,5227069
6,11000,4,6812003
7,11000,8,5290894
8,11000,16,5206015
9,11000,4,6822903
10,11000,8,5314006
11,11000,16,5262349
12,11000,4,6912479
13,11000,8,5491868
14,11000,16,5217624
15,11000,4,6844486
16,11000,8,5354427
17,11000,16,5187528
18,11000,4,6772768
19,11000,8,5412118
20,11000,16,5216783
21,11000,4,6864409
22,11000,8,5342299
23,11000,16,5125660
24,11000,4,6904007
25,11000,8,5335108
26,11000,16,5276592
27,11000,4,6839698
28,11000,8,5251452
29,11000,16,5154213
