,0,1,2
0,10000,8,4929828
1,12000,8,5879648
2,13000,8,6244518
3,14000,8,6746575
4,15000,8,7295713
5,10000,8,4790971
6,12000,8,5821787
7,13000,8,6199679
8,14000,8,6802337
9,15000,8,7186606
10,10000,8,4842752
11,12000,8,5807735
12,13000,8,6216977
13,14000,8,6724554
14,15000,8,7273322
15,10000,8,5129376
16,12000,8,5748067
17,13000,8,6238549
18,14000,8,6715638
19,15000,8,7234244
20,10000,8,4824259
21,12000,8,5762940
22,13000,8,6239469
23,14000,8,6791155
24,15000,8,7258015
25,10000,8,4881610
26,12000,8,5749086
27,13000,8,6453887
28,14000,8,6778023
29,15000,8,7327696
30,10000,8,4887761
31,12000,8,5869753
32,13000,8,6407025
33,14000,8,6821171
34,15000,8,7363835
35,10000,8,4914004
36,12000,8,5939334
37,13000,8,6367058
38,14000,8,6814116
39,15000,8,7311681
40,10000,8,4867122
41,12000,8,5809773
42,13000,8,6298169
43,14000,8,6828977
44,15000,8,7247651
45,10000,8,4816573
46,12000,8,5728189
47,13000,8,6236649
48,14000,8,6772708
49,15000,8,7176253
50,10000,8,4797258
51,12000,8,5804522
52,13000,8,6296964
