model,runs,connector,time.ms
Ethnocentrism,200,NL4Py,188933
Ethnocentrism,200,NL4Py,211979
Ethnocentrism,200,NL4Py,204944
Ethnocentrism,200,NL4Py,200866
Ethnocentrism,200,NL4Py,164837
Ethnocentrism,200,NL4Py,195813
Ethnocentrism,200,NL4Py,196240
Ethnocentrism,200,NL4Py,210782
Ethnocentrism,200,NL4Py,210956
Ethnocentrism,200,NL4Py,201130
Ethnocentrism,200,PyNetLogo,642804
Ethnocentrism,200,PyNetLogo,655418
Ethnocentrism,200,PyNetLogo,585736
Ethnocentrism,200,PyNetLogo,604040
Ethnocentrism,200,PyNetLogo,598721
Ethnocentrism,200,PyNetLogo,570125
Ethnocentrism,200,PyNetLogo,553737
Ethnocentrism,200,PyNetLogo,622495
Ethnocentrism,200,PyNetLogo,613587
Ethnocentrism,200,PyNetLogo,611669
Fire,200,NL4Py,29052
Fire,200,NL4Py,28549
Fire,200,NL4Py,28704
Fire,200,NL4Py,26611
Fire,200,NL4Py,30903
Fire,200,NL4Py,30797
Fire,200,NL4Py,30132
Fire,200,NL4Py,30998
Fire,200,NL4Py,25981
Fire,200,NL4Py,27256
Fire,200,PyNetLogo,46910
Fire,200,PyNetLogo,55333
Fire,200,PyNetLogo,41293
Fire,200,PyNetLogo,53013
Fire,200,PyNetLogo,37109
Fire,200,PyNetLogo,51688
Fire,200,PyNetLogo,43458
Fire,200,PyNetLogo,46222
Fire,200,PyNetLogo,38445
Fire,200,PyNetLogo,52047
Wolf Sheep Predation,200,NL4Py,29878
Wolf Sheep Predation,200,NL4Py,28878
Wolf Sheep Predation,200,NL4Py,29706
Wolf Sheep Predation,200,NL4Py,28736
Wolf Sheep Predation,200,NL4Py,29908
Wolf Sheep Predation,200,NL4Py,29409
Wolf Sheep Predation,200,NL4Py,28908
Wolf Sheep Predation,200,NL4Py,29096
Wolf Sheep Predation,200,NL4Py,28799
Wolf Sheep Predation,200,NL4Py,28440
Wolf Sheep Predation,200,PyNetLogo,48248
Wolf Sheep Predation,200,PyNetLogo,47848
Wolf Sheep Predation,200,PyNetLogo,47221
Wolf Sheep Predation,200,PyNetLogo,52977
Wolf Sheep Predation,200,PyNetLogo,45401
Wolf Sheep Predation,200,PyNetLogo,46014
Wolf Sheep Predation,200,PyNetLogo,44949
Wolf Sheep Predation,200,PyNetLogo,45358
Wolf Sheep Predation,200,PyNetLogo,53859
Wolf Sheep Predation,200,PyNetLogo,47482
